Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Andhra Pradesh, 31-05-2019, Monthly, 3.65, 11999139.00, 43.24,Rural
Andhra Pradesh, 30-06-2019, Monthly, 3.05, 11755881.00, 42.05,Rural
Andhra Pradesh, 31-07-2019, Monthly, 3.75, 12086707.00, 43.50,Rural
Andhra Pradesh, 31-08-2019, Monthly, 3.32, 12285693.00, 43.97,Rural
Andhra Pradesh, 30-09-2019, Monthly, 5.17, 12256762.00, 44.68,Rural
Andhra Pradesh, 31-10-2019, Monthly, 3.52, 12017412.00, 43.01,Rural
Andhra Pradesh, 30-11-2019, Monthly, 4.12, 11397681.00, 41.00,Rural
Andhra Pradesh, 31-12-2019, Monthly, 4.38, 12528395.00, 45.14,Rural
Andhra Pradesh, 31-01-2020, Monthly, 4.84, 12016676.00, 43.46,Rural
Andhra Pradesh, 29-02-2020, Monthly, 5.91, 11723617.00, 42.83,Rural
Andhra Pradesh, 31-03-2020, Monthly, 4.06, 11359660.00, 40.66,Rural
Andhra Pradesh, 30-04-2020, Monthly, 16.29, 8792827.00, 36.03,Rural
Andhra Pradesh, 31-05-2020, Monthly, 14.46, 9526902.00, 38.16,Rural
Andhra Pradesh, 30-06-2020, Monthly, 0.85, 15572975.00, 53.76,Rural
Assam, 31-05-2019, Monthly, 4.29, 11749334.00, 57.39,Rural
Assam, 30-06-2019, Monthly, 5.08, 8923222.00, 43.87,Rural
Assam, 31-07-2019, Monthly, 4.26, 9911534.00, 48.21,Rural
Assam, 31-08-2019, Monthly, 5.79, 9292039.00, 45.83,Rural
Assam, 30-09-2019, Monthly, 4.46, 11468349.00, 55.67,Rural
Assam, 31-10-2019, Monthly, 4.65, 8395906.00, 40.76,Rural
Assam, 30-11-2019, Monthly, 4.66, 9625362.00, 46.64,Rural
Assam, 31-01-2020, Monthly, 4.29, 11420996.00, 54.90,Rural
Assam, 29-02-2020, Monthly, 3.26, 8462814.00, 40.17,Rural
Assam, 31-03-2020, Monthly, 3.77, 9878742.00, 47.05,Rural
Assam, 31-05-2020, Monthly, 9.38, 9926176.00, 50.00,Rural
Assam, 30-06-2020, Monthly, 0.00, 7544937.00, 34.38,Rural
Bihar, 31-05-2019, Monthly, 9.27, 24322330.00, 39.75,Rural
Bihar, 30-06-2019, Monthly, 10.20, 24097712.00, 39.71,Rural
Bihar, 31-07-2019, Monthly, 13.44, 23248875.00, 39.66,Rural
Bihar, 31-08-2019, Monthly, 11.00, 22260203.00, 36.85,Rural
Bihar, 30-09-2019, Monthly, 8.87, 23905700.00, 38.57,Rural
Bihar, 31-10-2019, Monthly, 12.47, 24053140.00, 40.31,Rural
Bihar, 30-11-2019, Monthly, 12.40, 22445989.00, 37.51,Rural
Bihar, 31-12-2019, Monthly, 10.16, 22914530.00, 37.25,Rural
Bihar, 31-01-2020, Monthly, 9.13, 23409006.00, 37.54,Rural
Bihar, 29-02-2020, Monthly, 9.61, 23168192.00, 37.28,Rural
Bihar, 31-03-2020, Monthly, 15.39, 22667882.00, 38.88,Rural
Bihar, 30-04-2020, Monthly, 45.09, 14645275.00, 38.63,Rural
Bihar, 31-05-2020, Monthly, 47.26, 14050319.00, 38.50,Rural
Bihar, 30-06-2020, Monthly, 20.49, 20622566.00, 37.40,Rural
Chhattisgarh, 31-05-2019, Monthly, 9.82, 6259019.00, 42.89,Rural
Chhattisgarh, 30-06-2019, Monthly, 6.76, 6608626.00, 43.71,Rural
Chhattisgarh, 31-07-2019, Monthly, 4.54, 6753622.00, 43.53,Rural
Chhattisgarh, 31-08-2019, Monthly, 4.64, 6607694.00, 42.55,Rural
Chhattisgarh, 30-09-2019, Monthly, 8.33, 6490776.00, 43.38,Rural
Chhattisgarh, 31-10-2019, Monthly, 6.96, 7043840.00, 46.28,Rural
Chhattisgarh, 30-11-2019, Monthly, 2.77, 6942931.00, 43.56,Rural
Chhattisgarh, 31-12-2019, Monthly, 6.11, 6569385.00, 42.59,Rural
Chhattisgarh, 31-01-2020, Monthly, 9.89, 6236201.00, 42.03,Rural
Chhattisgarh, 29-02-2020, Monthly, 7.89, 6847173.00, 45.05,Rural
